0;Sample Name;C?;C? Mean;C? SD
1;A1;39,53688431;38,77098083;0,805302143
2;A1;38,8447113;38,77098083;0,805302143
3;A1;37,93135071;38,77098083;0,805302143
4;A2;35,24751663;34,95179749;0,41821003
5;A2;Undetermined;34,95179749;0,41821003
6;A2;34,65607834;34,95179749;0,41821003
7;A3;Undetermined;42,37689972;
8;A3;Undetermined;42,37689972;
9;A3;42,37689972;42,37689972;
10;A4;Undetermined;38,29570007;3,628737211
11;A4;Undetermined;38,29570007;3,628737211
12;A4;38,29570007;38,29570007;3,628737211
13;A5;34,13868332;34,35964584;0,312488198
14;A5;Undetermined;34,35964584;0,312488198
15;A5;34,58060837;34,35964584;0,312488198
16;A6;Undetermined;34,8576889;
17;A6;Undetermined;34,8576889;
18;A6;Undetermined;34,8576889;
19;A7;Undetermined;;
20;A7;Undetermined;;
21;A7;Undetermined;;
22;B1;22,26706505;22,27443695;0,034320001
23;B1;22,24440193;22,27443695;0,034320001
24;B1;22,31184387;22,27443695;0,034320001
25;B2;20,77493477;20,76501465;0,010232783
26;B2;20,75449562;20,76501465;0,010232783
27;B2;20,76561546;20,76501465;0,010232783
28;B3;31,94763565;32,90577698;0,898257613
29;B3;33,72885513;32,90577698;0,898257613
30;B3;33,04083633;32,90577698;0,898257613
31;B4;23,75849915;23,69630241;0,213726923
32;B4;23,87203217;23,69630241;0,213726923
33;B4;23,45837593;23,69630241;0,213726923
34;B5;22,13319016;22,22892761;0,116358265
35;B5;22,35843658;22,22892761;0,116358265
36;B5;22,19515991;22,22892761;0,116358265
37;B6;23,46772385;23,52204323;0,050606202
38;B6;23,56785965;23,52204323;0,050606202
39;B6;23,53054237;23,52204323;0,050606202
40;B7;21,78004646;21,6930542;0,286658406
41;B7;21,92614174;21,6930542;0,286658406
42;B7;21,37297821;21,6930542;0,286658406
43;C1;33,61477661;33,88248825;0,424305022
44;C1;33,66098404;33,88248825;0,424305022
45;C1;34,37170792;33,88248825;0,424305022
46;C2;33,95419693;33,91132736;0,243339136
47;C2;33,6493988;33,91132736;0,243339136
48;C2;34,13037872;33,91132736;0,243339136
49;C3;34,81758118;34,54621124;0,348103911
50;C3;34,15372849;34,54621124;0,348103911
51;C3;34,66732407;34,54621124;0,348103911
52;C4;30,90504265;31,27437592;0,326386362
53;C4;31,39405251;31,27437592;0,326386362
54;C4;31,52402878;31,27437592;0,326386362
55;C5;Undetermined;;
56;C5;Undetermined;;
57;C5;Undetermined;;
58;C6;Undetermined;;
59;C6;Undetermined;;
60;C6;Undetermined;;
61;C7;36,51117706;36,84846878;0,399046898
62;C7;37,28898621;36,84846878;0,399046898
63;C7;36,74524307;36,84846878;0,399046898
64;D1;19,88976288;19,76921272;0,198025763
65;D1;19,8772068;19,76921272;0,198025763
66;D1;19,54066658;19,76921272;0,198025763
67;D2;19,51286888;20,12770081;0,53281343
68;D2;20,45450401;20,12770081;0,53281343
69;D2;20,41573143;20,12770081;0,53281343
70;D3;28,27425194;28,47864532;0,262788862
71;D3;28,38661003;28,47864532;0,262788862
72;D3;28,7750721;28,47864532;0,262788862
73;D4;21,3867054;21,24609184;0,133503631
74;D4;21,12106705;21,24609184;0,133503631
75;D4;21,23050117;21,24609184;0,133503631
76;D5;33,79058456;33,80636597;0,022320971
77;D5;Undetermined;33,80636597;0,022320971
78;D5;33,82215118;33,80636597;0,022320971
79;D6;21,68894577;21,45655823;0,242328137
80;D6;21,47534752;21,45655823;0,242328137
81;D6;21,2053833;21,45655823;0,242328137
82;D7;22,23611832;22,6060276;0,374581635
83;D7;22,98511314;22,6060276;0,374581635
84;D7;22,59685898;22,6060276;0,374581635
85;E1;36,35918427;36,23583984;0,174435347
86;E1;Undetermined;36,23583984;0,174435347
87;E1;36,11249542;36,23583984;0,174435347
88;E2;37,62414932;38,82567978;1,61848259
89;E2;40,66609192;38,82567978;1,61848259
90;E2;38,18679047;38,82567978;1,61848259
91;E3;35,95827866;35,64019775;0,449834317
92;E3;35,32211685;35,64019775;0,449834317
93;E3;Undetermined;35,64019775;0,449834317
94;E4;Undetermined;;
95;E4;Undetermined;;
96;E4;Undetermined;;
97;E5;Undetermined;;
98;E5;Undetermined;;
99;E5;Undetermined;;
100;E6;33,97419739;34,18361664;0,217990831
101;E6;34,16738129;34,18361664;0,217990831
102;E6;34,40927124;34,18361664;0,217990831
103;E7;Undetermined;;
104;E7;Undetermined;;
105;E7;Undetermined;;
106;F1;Undetermined;;
107;F1;Undetermined;;
108;F1;Undetermined;;
109;F2;Undetermined;;
110;F2;Undetermined;;
111;F2;Undetermined;;
112;F3;Undetermined;;
113;F3;Undetermined;;
114;F3;Undetermined;;
115;F4;Undetermined;38,97686005;
116;F4;Undetermined;38,97686005;
117;F4;38,97686005;38,97686005;
118;F5;Undetermined;36,87936401;3,544246435
119;F5;Undetermined;36,87936401;3,544246435
120;F5;Undetermined;36,87936401;3,544246435
121;F6;Undetermined;;
122;F6;Undetermined;;
123;F6;Undetermined;;
124;F7;24,44621849;24,35637856;0,083678365
125;F7;24,28065872;24,35637856;0,083678365
126;F7;24,34225655;24,35637856;0,083678365
127;G1;18,39556503;18,65934181;0,381167352
128;G1;19,09636116;18,65934181;0,381167352
129;G1;18,48609924;18,65934181;0,381167352
130;G2;19,64401817;19,6984787;0,057424054
131;G2;19,75846672;19,6984787;0,057424054
132;G2;19,69295311;19,6984787;0,057424054
133;G3;18,82166481;18,86225128;0,051248305
134;G3;18,84524918;18,86225128;0,051248305
135;G3;18,91983986;18,86225128;0,051248305
136;G4;19,18968582;19,22421646;0,046527103
137;G4;19,27712631;19,22421646;0,046527103
138;G4;19,20583916;19,22421646;0,046527103
139;G5;20,63950348;20,5873394;0,048381709
140;G5;20,57857704;20,5873394;0,048381709
141;G5;20,54393768;20,5873394;0,048381709
142;G6;16,33183479;16,37000084;0,034714233
143;G6;16,37846756;16,37000084;0,034714233
144;G6;16,39969635;16,37000084;0,034714233
145;G7;18,54607773;18,46169472;0,073247068
146;G7;18,41454124;18,46169472;0,073247068
147;G7;18,42446136;18,46169472;0,073247068
148;H1;19,55903053;19,68543816;0,109853581
149;H1;19,75778198;19,68543816;0,109853581
150;H1;19,73950386;19,68543816;0,109853581
151;H2;18,9150753;19,00387383;0,146381885
152;H2;18,9237175;19,00387383;0,146381885
153;H2;19,17282677;19,00387383;0,146381885
154;H3;19,86547279;20,01442528;0,250599593
155;H3;19,87405396;20,01442528;0,250599593
156;H3;20,30375099;20,01442528;0,250599593
157;H4;22,49869347;22,54507446;0,130652577
158;H4;22,44394112;22,54507446;0,130652577
159;H4;22,69259071;22,54507446;0,130652577
160;H5;23,22182465;23,05209923;0,219531626
161;H5;22,80417442;23,05209923;0,219531626
162;H5;23,13029671;23,05209923;0,219531626
163;H6;20,68810081;20,84658241;0,240132406
164;H6;20,72878075;20,84658241;0,240132406
165;H6;21,12286758;20,84658241;0,240132406
166;H7;20,92399216;21,06139183;0,128232658
167;H7;21,08229637;21,06139183;0,128232658
168;H7;21,17788887;21,06139183;0,128232658
169;I1;23,9159584;23,99572182;0,119864002
170;I1;24,13356018;23,99572182;0,119864002
171;I1;23,93764305;23,99572182;0,119864002
172;I2;23,32661057;23,53699684;0,185987413
173;I2;23,67953682;23,53699684;0,185987413
174;I2;23,60483932;23,53699684;0,185987413
175;I3;21,82874489;22,19959259;0,429464549
176;I3;22,67013741;22,19959259;0,429464549
177;I3;22,09989738;22,19959259;0,429464549
178;I4;22,40925217;22,66591835;0,225042403
179;I4;22,75911331;22,66591835;0,225042403
180;I4;22,8293972;22,66591835;0,225042403
181;I5;23,08793449;23,24269104;0,147501081
182;I5;23,38166809;23,24269104;0,147501081
183;I5;23,25846863;23,24269104;0,147501081
184;I6;24,16607475;24,43753242;0,236054093
185;I6;24,59457207;24,43753242;0,236054093
186;I6;24,55195427;24,43753242;0,236054093
187;I7;24,71007538;24,8878231;0,15393874
188;I7;24,97542572;24,8878231;0,15393874
189;I7;24,97796631;24,8878231;0,15393874
190;J1;31,50030327;31,43971252;0,097205244
191;J1;31,49124146;31,43971252;0,097205244
192;J1;31,32759094;31,43971252;0,097205244
193;J2;35,222229;35,17014694;0,219255015
194;J2;35,35866928;35,17014694;0,219255015
195;J2;34,92953873;35,17014694;0,219255015
196;J3;27,55813789;27,27879906;0,301364183
197;J3;26,95941353;27,27879906;0,301364183
198;J3;27,31884193;27,27879906;0,301364183
199;J4;26,61490822;26,56775093;0,071686566
200;J4;26,60308838;26,56775093;0,071686566
201;J4;26,4852562;26,56775093;0,071686566
202;J5;24,07626915;24,02802467;0,1278736
203;J5;24,12475777;24,02802467;0,1278736
204;J5;23,8830471;24,02802467;0,1278736
205;J6;23,67446136;23,69518471;0,044562168
206;J6;23,66475677;23,69518471;0,044562168
207;J6;23,74633408;23,69518471;0,044562168
208;J7;37,21294785;37,34395218;0,278964669
209;J7;37,15460205;37,34395218;0,278964669
210;J7;37,66430664;37,34395218;0,278964669
211;K1;23,49959373;23,43438721;0,083893359
212;K1;23,46382713;23,43438721;0,083893359
213;K1;23,33974266;23,43438721;0,083893359
214;K2;23,98658562;24,0198307;0,029531805
215;K2;24,04302597;24,0198307;0,029531805
216;K2;24,02988052;24,0198307;0,029531805
217;K3;25,29667473;25,27775002;0,055726912
218;K3;25,32155228;25,27775002;0,055726912
219;K3;25,21502686;25,27775002;0,055726912
220;K4;25,86275482;25,91547585;0,05067955
221;K4;25,91984749;25,91547585;0,05067955
222;K4;25,96383095;25,91547585;0,05067955
223;K5;27,51036453;27,56056213;0,106648058
224;K5;27,68304443;27,56056213;0,106648058
225;K5;27,48827171;27,56056213;0,106648058
226;K6;26,85346222;26,99063873;0,148074105
227;K6;27,14761734;26,99063873;0,148074105
228;K6;26,97083473;26,99063873;0,148074105
229;K7;37,66223526;37,62988663;0,292171091
230;K7;37,9045372;37,62988663;0,292171091
231;K7;37,32288742;37,62988663;0,292171091
232;L1;25,00925255;25,13790131;0,113673337
233;L1;25,22478294;25,13790131;0,113673337
234;L1;25,17966652;25,13790131;0,113673337
235;L2;23,30862808;23,44042015;0,12731804
236;L2;23,5627346;23,44042015;0,12731804
237;L2;23,44989586;23,44042015;0,12731804
238;L3;32,99830627;33,10583496;0,194480076
239;L3;32,98886108;33,10583496;0,194480076
240;L3;33,33033371;33,10583496;0,194480076
241;L4;34,76848602;34,33555984;0,415763974
242;L4;33,93939972;34,33555984;0,415763974
243;L4;34,29879761;34,33555984;0,415763974
244;L5;35,5595932;35,87326431;0,275536746
245;L5;36,0762291;35,87326431;0,275536746
246;L5;35,98397446;35,87326431;0,275536746
247;L6;25,68032265;25,71868134;0,074434638
248;L6;25,6712513;25,71868134;0,074434638
249;L6;25,80447197;25,71868134;0,074434638
250;L7;34,76660919;34,91712189;0,16143553
251;L7;35,08761978;34,91712189;0,16143553
252;L7;34,8971405;34,91712189;0,16143553
253;M1;35,84276962;35,98952866;0,13006644
254;M1;36,03527451;35,98952866;0,13006644
255;M1;36,09054184;35,98952866;0,13006644
256;M2;36,62824249;37,13718033;0,46518892
257;M2;37,2428627;37,13718033;0,46518892
258;M2;37,54043579;37,13718033;0,46518892
259;M3;38,64784622;39,11300659;0,492456526
260;M3;39,6288414;39,11300659;0,492456526
261;M3;39,06233978;39,11300659;0,492456526
262;M4;40,47158813;39,64732742;1,859149456
263;M4;37,51854706;39,64732742;1,859149456
264;M4;40,95184326;39,64732742;1,859149456
265;M5;35,35263824;35,02814865;0,405627817
266;M5;35,15841675;35,02814865;0,405627817
267;M5;34,57339096;35,02814865;0,405627817
268;M6;38,47458649;38,23522568;0,54601562
269;M6;38,62068176;38,23522568;0,54601562
270;M6;37,61040878;38,23522568;0,54601562
271;M7;37,19090652;37,32663345;0,202440485
272;M7;37,22967911;37,32663345;0,202440485
273;M7;37,55931854;37,32663345;0,202440485
274;N1;37,60102081;36,99994278;0,525087595
275;N1;36,76828384;36,99994278;0,525087595
276;N1;36,63051987;36,99994278;0,525087595
277;N2;37,84731674;37,72311783;0,561788142
278;N2;38,21241379;37,72311783;0,561788142
279;N2;37,10962296;37,72311783;0,561788142
280;N3;34,79154587;34,46139908;0,341121346
281;N3;34,11027145;34,46139908;0,341121346
282;N3;34,4823761;34,46139908;0,341121346
283;N4;39,0617218;38,7160759;0,714972675
284;N4;37,89395905;38,7160759;0,714972675
285;N4;39,19254684;38,7160759;0,714972675
286;N5;38,93780899;38,05340958;0,885136604
287;N5;38,05488968;38,05340958;0,885136604
288;N5;37,16753769;38,05340958;0,885136604
289;N6;34,75846863;35,04701233;0,272410572
290;N6;35,29974747;35,04701233;0,272410572
291;N6;35,08282471;35,04701233;0,272410572
292;N7;38,50378036;38,49725723;0,208536357
293;N7;38,28553772;38,49725723;0,208536357
294;N7;38,70245743;38,49725723;0,208536357
295;O1;Undetermined;;
296;O1;Undetermined;;
297;O1;Undetermined;;
298;O2;Undetermined;;
299;O2;Undetermined;;
300;O2;Undetermined;;
301;O3;Undetermined;;
302;O3;Undetermined;;
303;O3;Undetermined;;
304;O4;Undetermined;;
305;O4;Undetermined;;
306;O4;Undetermined;;
307;O5;Undetermined;;
308;O5;Undetermined;;
309;O5;Undetermined;;
310;O6;Undetermined;;
311;O6;Undetermined;;
312;O6;Undetermined;;
313;O7;Undetermined;;
314;O7;Undetermined;;
315;O7;Undetermined;;
316;P1;Undetermined;;
317;P1;Undetermined;;
318;P1;Undetermined;;
319;P2;Undetermined;;
320;P2;Undetermined;;
321;P2;Undetermined;;
322;P3;Undetermined;;
323;P3;Undetermined;;
324;P3;Undetermined;;
325;P4;Undetermined;;
326;P4;Undetermined;;
327;P4;Undetermined;;
328;P5;Undetermined;;
329;P5;Undetermined;;
330;P5;Undetermined;;
331;P6;Undetermined;;
332;P6;Undetermined;;
333;P6;Undetermined;;
334;P7;Undetermined;;
335;P7;Undetermined;;
336;P7;Undetermined;;
337;Q1;Undetermined;;
338;Q1;Undetermined;;
339;Q1;Undetermined;;
340;Q2;Undetermined;;
341;Q2;Undetermined;;
342;Q2;Undetermined;;
343;Q3;Undetermined;;
344;Q3;Undetermined;;
345;Q3;Undetermined;;
346;Q4;Undetermined;;
347;Q4;Undetermined;;
348;Q4;Undetermined;;
349;Q5;Undetermined;;
350;Q5;Undetermined;;
351;Q5;Undetermined;;
352;Q6;Undetermined;;
353;Q6;Undetermined;;
354;Q6;Undetermined;;
355;Q7;Undetermined;;
356;Q7;Undetermined;;
357;Q7;Undetermined;;
358;R1;Undetermined;;
359;R1;Undetermined;;
360;R1;Undetermined;;
361;R2;Undetermined;;
362;R2;Undetermined;;
363;R2;Undetermined;;
364;R3;Undetermined;;
365;R3;Undetermined;;
366;R3;Undetermined;;
367;R4;Undetermined;;
368;R4;Undetermined;;
369;R4;Undetermined;;
370;R5;Undetermined;;
371;R5;Undetermined;;
372;R5;Undetermined;;
373;R6;Undetermined;;
374;R6;Undetermined;;
375;R6;Undetermined;;
376;R7;Undetermined;;
377;R7;Undetermined;;
378;R7;Undetermined;;
379;S1;Undetermined;;
380;S1;Undetermined;;
381;S1;Undetermined;;
382;S2;Undetermined;;
383;S2;Undetermined;;
384;S2;Undetermined;;
385;S3;Undetermined;;
386;S3;Undetermined;;
387;S3;Undetermined;;
388;S4;Undetermined;;
389;S4;Undetermined;;
390;S4;Undetermined;;
391;S5;Undetermined;;
392;S5;Undetermined;;
393;S5;Undetermined;;
394;S6;Undetermined;;
395;S6;Undetermined;;
396;S6;Undetermined;;
397;S7;Undetermined;;
398;S7;Undetermined;;
399;S7;Undetermined;;
400;T1;Undetermined;;
401;T1;Undetermined;;
402;T1;Undetermined;;
403;T2;Undetermined;;
404;T2;Undetermined;;
405;T2;Undetermined;;
406;T3;Undetermined;;
407;T3;Undetermined;;
408;T3;Undetermined;;
409;T4;Undetermined;;
410;T4;Undetermined;;
411;T4;Undetermined;;
412;T5;Undetermined;;
413;T5;Undetermined;;
414;T5;Undetermined;;
415;T6;Undetermined;;
416;T6;Undetermined;;
417;T6;Undetermined;;
418;T7;Undetermined;;
419;T7;Undetermined;;
420;T7;Undetermined;;
